reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A2E5IK9TUH8UPD,0972683275,David,"[0, 0]","For the price, this wall mount is great.  Not too hard to install.  The only reason I didn't give it a 5 star is wire management.  I could not get the little loop to work.  Not a big deal at all however.  Overall, I highly recommend this product.  Well worth the money.",4.0,Easy to install.  Wire managment is not the best.,1331078400,"03 7, 2012"
AEQR0VUFBZXUY,0972683275,"D. Durbin ""Student of Poetry, Student of Life""","[0, 0]","Needed a corner mounted Flatscreen. This did the job well, easy to install. I had to mount in a metal stud, so I used two support boards in the back to distribute the weight more evenly. Expectations of item met at a fraction of the cost from competitors.",5.0,Good corner mount,1363737600,"03 20, 2013"
A13BWQDECDDVIZ,0972683275,D. Jacobs,"[0, 0]","I'd never bought one of these, mainly due to the high prices in the retail stores.  I hadn't looked online much, and hadn't really needed a monitor mounting device until recently.This thing is well built, and it does the job.  It's not fancy but if you are just looking for an inexpensive way to hang a monitor (TV or PC) on the wall this will do the job.  It comes with a nice bag of heavy-duty hardware.  It is primarily designed for mounting TV sets, but you can get it to work with a PC monitor, as long as it has the VESA mounting.It mainly articulates side-to-side and in-and-out.  It'll pivot a bit up and down, but that's limited.",4.0,VideoSecu,1296950400,"02 6, 2011"
A12XCRHPREC51Y,0972683275,DnP,"[0, 0]","Only gave this four stars because it's only supporting a 32&#34; TV. I think I would be scared to mount a 55&#34; TV on it. If you sprang for a 50&#34; or bigger TV, spend a little more on a properly rated mount. As with any TV mount, make sure you're hitting wall studs with the main screws, don't just use anchors in drywall or you're asking for trouble. LOTS of hardware included in the kit, so mounting any style or brand of TV shouldn't be a problem.",4.0,Nice mount for the money.,1371427200,"06 17, 2013"
A3QPJS71FU70MX,0972683275,Donald Jones,"[0, 0]","Nothing fancy, just decent quality and simple installation.  As may have been mentioned, one must discard the provided Phillips screws that the manufacturer provides to affix the bracket to the wall stud.  Use your own.  The TV I mounted with it is an older flat-panel, so it's a little heavier than the news ones.  This thing isn't fazed, and stays where I put it.",4.0,These mounts are amazing,1380240000,"09 27, 2013"
A2A3B0JX2JRS6S,0972683275,Dustan Dennington,"[0, 0]",Amazing how easy it is to move my 46&#34; around on this mount and able to hang off one stud. Nice quality feel to metal it is made of.,5.0,in love with this mount,1379462400,"09 18, 2013"
A1ZPEZMQBCTZQN,0972683275,Dusty,"[0, 0]","Very sturdy. The arm is very stiff at first so you have to work it lose.  However, the mount works great, just make sure you get that stud just right. I was impressed with the quality and happy with the price.",4.0,Works great.,1384300800,"11 13, 2013"
A2OGXHE7PVLTOE,0972683275,D. Wallas,"[0, 0]","Don't have anything to really complain about.  EXCEPT there doesn't seem to be a way, or i'm missing it to tilt the TV up or down (ie. mounted high on the wall and pointed down towards the chair).  and i am quite savvy with tools/assembly/etc. And it is difficult to get to the bolt heads on the back of the TV to adjust the angle.  No reason to not buy it though.",4.0,no problems with it.  works as intended.,1324080000,"12 17, 2011"
A3OYE7X2O08LNT,0972683275,dwilly910,"[0, 0]","Bought the mount for my 30&#34; Dell U3011 monitor.  It fits the Dell quite well, and I bought it for it's reach from the wall, it's ability to manipulate, and it's weight capacity.  And in all those respects, I'm quite happy.However, there is a noticeable tilt/sag to the monitor when I have the arm extended.  I'm not so concerned with sag perpendicular to the wall, as that was expected, but the rotational sag that I sometimes get.",4.0,"Works good, but has some sag",1360195200,"02 7, 2013"
A2LR9WP2JGDT8E,0972683275,E. Coronel,"[0, 2]","The mount plate and the extender arms need to be screwed together and there are two holes for each arm to attach to the corner of the plate. The holes don't align so I couldn't put two screws in. I just used one screw which is not the most secure attachment. Then I used zip ties to secure the arm better. I did this because I had to install the tv ASAP and could not wait for a replacement. Also, the mounting bracket that attaches to the wall has a larger screw hole on the bottom. This means that the bottom can wiggle and the bracket will be misaligned. Again, I did a quick fix. I gave this 2 stars and not 1 because it actually stayed up on the wall and is now holding my tv, albeit due to my own ingenuity and not the quality of the mount. I should not have to do quick fixes on a product like this.",2.0,screw holes don't align,1355702400,"12 17, 2012"
A18FTRFQQ141CP,0972683275,ela92,"[0, 0]","VERY HAPPY, it looks great, I'm so happy we got it. Holds good, it is a lil hard to get it to the wall. Other then that its fine I love how we have more room in our room. My husband is so happy I ordered this, it only cost us $28 free shipping and FAST(: VERY THANKFUL TO THE SELLER.",5.0,SAMSUNG 32in PLASMA(: DOES THE WORK FOR US ( FAST SHIPPING!!!!!!!!),1332028800,"03 18, 2012"
A1XEYWWDJ09OEA,0972683275,Eric Fleckenstein,"[0, 0]","I wasn't willing to pay $100 for simply mounting a TV, so I bought this item to give it a shot. I have no real complaints.  It holds the TV up, which is all I wanted.  It does not have smooth pivot points, so if you're planning on moving it around a lot, don't use this one, but if it's going to stay in a static area, this is your mount.",4.0,Great mount for the price,1297468800,"02 12, 2011"
A2JMN2JA9LSHVL,0972683275,Eric G. Gruner,"[1, 2]","Bought NEW but I could tell right away that mine had been repackaged and refurbished.  Plus the was missing the 4 arms but had some other random hardware included.  I made mine work for my 32&#34; set and it serves it's purpose. Just wish the seller was upfront on the condition, I could have bought a used one for $5 less.",1.0,"Bought NEW Stand for $25, but mine had the 4 arms missing and was refurbished",1354320000,"12 1, 2012"
A3ATF868IEP191,0972683275,Eric,"[0, 0]",This is a rather good tv mount. This tv mount works exactly as expected and described. I would buy again.,4.0,good mount,1360540800,"02 11, 2013"
A14O9P3DV5EHKO,0972683275,E. Solch,"[0, 1]","I had to use a hacksaw to cut away part of this to hang my 24&#34; LED TV in my bedroom. Other than that, seems to work fine.",3.0,A little big for 24&#34; TV's,1359331200,"01 28, 2013"
AVHB9LLVCTEKY,0972683275,Evan Caltrider,"[0, 0]","I have a 42&#34; Hannspree LCD TV. It weighs 42.5 lbs. Most other reviews said they had a TV smaller than this so I was a little skeptical but got it because of the good price and it said it could hold 60 or so lbs. Most of my reservation was because it was the first time I've mounted a TV and worried it would fall within a week. I've had it over a month and its nice to have it be able to swing out, extend, and angle. I like the fact that I can get a bigger TV and still use this mount as its in my living room. It was not too hard to install. I bought a stud finder because I didn't have one and most everything else I already had to install it. I do highly recommend recruiting some help with the install, at least for when putting the TV on. This would be extremely hard by yourself, especially if you have a bigger TV. Overall, very happy with this mount.",5.0,Good and versatile,1375142400,"07 30, 2013"
A2GPNXFUUV51ZZ,0972683275,Farmer-Al,"[0, 0]",Installed easy and in no time at all (finding the stud was the hardest part for me).  Articulates well with the 40&#34; TV on it. I would not hesitate to look for this brand when it is time for the next TV mount.,5.0,"Easy install, great price, good performance.",1395878400,"03 27, 2014"
A3CLWR1UUZT6TG,0972683275,"FD Firefighter 121 ""Remember the 343""","[0, 0]",I have two of these now in different rooms. Works well with my Samsung TV'S  for the size noted above,5.0,Works well,1373587200,"07 12, 2013"
A1V8UZ63FQD382,0972683275,"FL Guy ""FL Guy""","[0, 0]","We got this one recently and its a great wall mount. The unit is pretty heavy, so you will need a helper. It also includes a variety of screws to mount also. Our TV documentation stated it was a 400x400 pattern. But after putting hte plate over the back, seems we didn't need the extra extenders as its 200x200. This is on a Samsung 40&#34; 5000 series LEDTV.The arm is hard to push and pull, but that is more due to being new and stiff. Make sure you adjust the tilt angle screws as our unit came with them loose so we had to tighten them.I initially was scared to mount it (what if it falls if I screw up!!!) but its pretty easy. Not only did i use a stud finder to get the general location of the stud, but i also used nails to get the actual edges (those basic studfinders are never &#34;exact&#34;). make sure you do the same.not bad for $30-ish",5.0,Great product,1376870400,"08 19, 2013"
A3Q7DHKIU7TMBI,0972683275,follownobody,"[0, 0]",this is a good product.  It went up easily.  I did it myself.  I wish I might have gotten one with a little more adjustment.  It's very rigid.,4.0,for my office tv,1357171200,"01 3, 2013"
AOOQGCJEV25VT,0972683275,Frankie,"[0, 0]",I have purchased 3 of these wall mounts and they hold my 37 and 32 inch flat screens perfectly. I love these and highly recommend them.,5.0,One of the best wal mount sets ever!!,1355184000,"12 11, 2012"
A24OHQK700QEIW,0972683275,Fredy,"[0, 0]","Very good item; I am happy wit it, and delivery time was excellent!!  I recomended; is a good support for your LED TV. It is easy to install, and it have extra screws for different sizes TV.",5.0,Very good!!,1335916800,"05 2, 2012"
A3T3M5EYGCWSUA,0972683275,Frequent Amazon Customer,"[0, 0]","This was perfect for my 24"" LED monitor, I had it up in just a few mins and with no problems.  It included a small bubble level and it also came with a 6' HDMI cable which I was not expecting.",5.0,Strong/Easy install/ and comes with HDMI cable also!,1309564800,"07 2, 2011"
A38FGQVJM18OWV,0972683275,"George S. Mitchell ""gsmitchell""","[8, 18]","I checked around Amazon as well as some other sites, and decided these were what I needed.  I read the reviews, looked at the pictures and bought two of these.  I received them today.  I unpacked one of them, read the instructions and immediately filled out the return request for Amazon.  These mounts are very, very heavy and require 6, yes SIX, screws to mount to the wall.  Are you kidding me?  The TVs are only 22 lbs!  Two screws in the studs and then more damage to the wall than is necessary.  What a joke!  And Lag bolts?  Ever heard of screws?  The other issue is that these are very hard to move.  I bought an articulating wall mount for a reason, and I expect them to be able to move without a wrench in my hand.",1.0,What a piece of junk!,1291161600,"12 1, 2010"
A1CA40102FA5N0,0972683275,Gerald Wendel,"[0, 0]","Installed easily, has a nice long reach.  Attached a 32&#34; TV for the grandkids and it works out great. accomodates many different size TV's and was a very good price.",5.0,Nice reach,1395446400,"03 22, 2014"
A12PFARGH9ELDI,0972683275,G. Kelly,"[0, 0]","For the price.....can't be beat.  I have two TV's hanging in the living room.  No issues, easy to hang.  I would recommend to a friend.",5.0,"For the price, can't be beat.",1377734400,"08 29, 2013"
A1P560UNX4SBE7,0972683275,goatbear2,"[2, 2]",Works Great. Holds my 40 inch TV effortlessly. Very well built. Definitely worth the price. Easy to install TV to the mount. Has cord clips. TV can be tilted up or down and sideways. Extends from the wall 24 inches. I highly recommend this brand..,5.0,Samsung TV wall Mount,1382400000,"10 22, 2013"
A28RVT20CEXA8B,0972683275,Golfore,"[0, 0]","Used this with a Panasonic 22 inch LCD. Very durable and works as advertised.It was advertised as fitting 22""-37"" televisions, but the size of the t.v mounting plate is so large that it covers some of the plug connections on the back of the television. I will have to cut the metal plate to get to the P.C connector if i choose to connect a computer.Haven't decided if i will keep or send back to get something with a smaller mounting plate.Other than that, it's a great product and meets my need for a hanging television.",4.0,Durable,1295654400,"01 22, 2011"
A27OMVFGJXH1VB,0972683275,Goneanddidit,"[0, 0]","I have a 47&#34; TV and had no place to put it in my bed room. With this mount it use the space i had a poster hanging. Very easy to install, came with all hard ware.",5.0,Got Room?,1360886400,"02 15, 2013"
A3E4YU6APQLRKE,0972683275,Green_Steve,"[0, 0]","Great Mount, so many areas of articulation. This was a great gift idea my mother loves it. I have purchased two of them and they are sturdy and give a touch of class to every room you put them in. A must have any video file or those who want to save space in a bedroom or office.",5.0,One more elegant solution for the home or office.,1384646400,"11 17, 2013"
A1N4DKWTQ9YP1Q,0972683275,"Heidi L. Rathbone ""HLR61""","[0, 0]",This is perfect for what I needed it for. I can move the screen from side to side if I need to and I don't have the TV sitting on my desk.....,5.0,Wall Mount,1359763200,"02 2, 2013"
AD0VA39FRVNKN,0972683275,HM,"[0, 1]",have not had the opportunity to install the tv mount as of yet - will follow up once mounted in place. great price and quick shipping,5.0,Vide Swing Arm tv mount,1360627200,"02 12, 2013"
ABM9CL72EGWKN,0972683275,Hold Fast,"[0, 0]",Why pay the $$$$ at Best Buy when you can get the same products for a fraction of the prices here.  The VideoSecu Long Arm TV Wall Mount Low Profile Full Motion works great.,4.0,Good Product,1383782400,"11 7, 2013"
A3A7ZJ4QS65X15,0972683275,Isaac LePes,"[0, 0]","Pro's: Easy to setup.  Supports many different VESA formats. Has some articulation.  Sturdy construction.  Can be installed by one person w/o too much effort.Con's: Cable guides fall off easily.  The joints are a bit too stiff; you really have to man-handle it to get it fully extended, and you have to push fairly hard to get it to compact again.  So far I have not noticed any wear from this firm pulling/pushing, but I worry because it is only attached to the studs buy 2 bolts.",3.0,"Bought to mount 46"" LCD",1360281600,"02 8, 2013"
A110S8IJ3ZID0D,0972683275,Jake,"[0, 0]",We bought this for a 55&#34; Vizio and it worked perfectly. I would buy it again and recommend it. Good quality.,5.0,"Worked great for 55"" Vizio",1388620800,"01 2, 2014"
A11NR4AJK9TNQM,0972683275,"jaldeborgh ""jaldeborgh""","[0, 0]","I am impressed with the solid design of this TV Wall Mount.  I think this weights more than the 26"" TV it is supporting.  It also has lots of logical adjustments so leveling the TV isn't too difficult.  The one semi negative is that it takes a fair amount of force to reposition the TV.  This does assure the TV stays put but if you plan to move the TV on the stand a lot this may be a negative.  Overall I am pleased with the stand - it seems like a good value.",4.0,Solid Design - Adjustable,1311552000,"07 25, 2011"
A13M65IGNEQXW1,0972683275,James,"[0, 0]",I bought the uint for a 32 &#34; Tando.  I couldn't get the parts to line up so I bought another fixed type.,3.0,Didn't fit as I expected,1359158400,"01 26, 2013"
A180BZHVJIRWBZ,0972683275,James Mac,"[0, 0]","Very well made, strong mount the only problem I have is the instructions are very poorly written or detailed. Pictures do not distinguish between Stud mount and concrete. Also the instructions do not tell you the size of the included boltsFor those of you who have never worked in the home building industry wall studs are usually 1.5 inches wide so this mount only requires 2 lag bolts in the middle holes to secure it to the wall to support a 23 lb TV. The four outboard holes on the wall mount are 1.3"" apart so don't try to use them in a wall stud measuring 1.5"" wide.Helpful hint: I have help install at least 6 other wall mounts because of family or friends so I cannot say that I am an expert but my suggestion is to drill pilot holes which the instructions do not tell you to do.After comparing the instructions on this unit to others I have installed I still must say that the pictures should have a lot more detail. Some complain that the back plate was too big for the TV they used but it's fits perfect on theLG 32LK450 32-Inch 1080p 60Hz LCD HDTVI am using it on.Works perfectly for the area of the room I am using it in which allows me to rearrange the room without the need to move the TV.",4.0,"Very well made, strong mount.",1319241600,"10 22, 2011"
A1R2514DVWIIMV,0972683275,Jamie Richardson,"[1, 1]","Perhaps I misunderstood how to install the mount, but I:1) Installed the mount to the wall (easy enough)2) Attach TV the mount with some screws (difficult for one person)With one arm I held the TV (heavy!). The other arm was trying to attach some small screws connecting the TV to the mount. It took quite an effort to hold the TV for that long. Certainly having two people installing this would be waaaay easier :-)I have another similar mount where the TV back plate and the mount are separate parts. So once the back plate is installed, you slide the connecting parts together. Much easier! :-)",4.0,"Solid, but not the best mount I've had",1293408000,"12 27, 2010"
A1KM3IPZ9H0JKZ,0972683275,J. A. Quayle,"[0, 0]","It took about 10 mins to install this TV Wall Mount with a 48 inch Samsung TV.  It does the job, there are much more expensive arms, but this does the trick.",4.0,"Easy to install, cheap, easy to use",1390867200,"01 28, 2014"
AZ6SUJ5T0KBE5,0972683275,Jason,"[0, 1]","I used this to hang my 40&#34; LCD that I bought back in 07, so it's a heavy TV that outweighs my new 50&#34;.  Everything seems to be made well, it was easy to install myself, and the TV has been hanging for 2 months now from a brick wall at it's full reach.  I can't imagine paying $100 for other TV wall mounts, as well as this one performs.",5.0,Great bargain!,1374451200,"07 22, 2013"
